Date : 2024-03-26 00:17:54
Directory : /Users/morikazu/Downloads/StudyHub_student/lib/application
Total : 125 files,  2438 codes, 173 comments, 604 blanks, all 3215 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/answer/query_service/answer_query_service_provider.dart                           | Dart     |         32 |          0 |          4 |         36 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/answer/query_service/answer_query_service_provider.g.dart                         | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/answer/repository/answer_repository_provider.dart                                 | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/answer/repository/answer_repository_provider.g.dart                               | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/query_service/get_my_bookmarks_query_service_provider.dart              | Dart     |         35 |          0 |          4 |         39 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/query_service/get_my_bookmarks_query_service_provider.g.dart            | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/repository/get_my_bookmarks_repository_provider.dart                    | Dart     |         18 |          0 |          4 |         22 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/repository/get_my_bookmarks_repository_provider.g.dart                  | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/query_service/get_favorite_teacher_query_service_provider.dart   | Dart     |         27 |          0 |          4 |         31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/query_service/get_favorite_teacher_query_service_provider.g.dart | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/repository/favorite_teacher_repository_provider.dart             | Dart     |         18 |          0 |          4 |         22 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/repository/favorite_teacher_repository_provider.g.dart           | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/photo/photo_repository_provider.dart                                              | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/photo/photo_repository_provider.g.dart                                            | Dart     |         14 |          7 |          6 |         27 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/factory/question_factory_provider.dart                                   | Dart     |         20 |          0 |          4 |         24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/factory/question_factory_provider.g.dart                                 | Dart     |         14 |          7 |          6 |         27 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_question_query_service_provider.dart                   | Dart     |         31 |          0 |          4 |         35 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_question_query_service_provider.g.dart                 | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/repository/question_repository_provider.dart                             | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/repository/question_repository_provider.g.dart                           | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question_detail/question_detail_query_service_provider.dart                       | Dart     |         21 |          0 |          4 |         25 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/question_detail/question_detail_query_service_provider.g.dart                     | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/school/school_repository_provider.dart                                            | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/school/school_repository_provider.g.dart                                          | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/session/session_provider.dart                                                     | Dart     |         34 |          0 |          7 |         41 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/session/session_provider.g.dart                                                   | Dart     |         47 |         10 |         12 |         69 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_provider.dart                                                     | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_provider.g.dart                                                   | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_repository_provider.dart                                          | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student/student_repository_provider.g.dart                                        | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student_auth/student_auth_provider.dart                                           | Dart     |         42 |          0 |          6 |         48 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/student_auth/student_auth_provider.g.dart                                         | Dart     |         42 |          9 |         10 |         61 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_popular_teacher_query_service_provider.dart                           | Dart     |         22 |          0 |          4 |         26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_popular_teacher_query_service_provider.g.dart                         | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_teacher_profile_query_service.dart                                    | Dart     |         30 |          0 |          4 |         34 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/get_teacher_profile_query_service.g.dart                                  | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/search_for_teachers_query_service.dart                                    | Dart     |         21 |          0 |          4 |         25 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/search_for_teachers_query_service.g.dart                                  | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/teacher_provider.dart                                                     | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher/teacher_provider.g.dart                                                   | Dart     |         15 |          7 |          6 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher_evaluation/teacher_evaluation_repository_provider.dart                    | Dart     |         18 |          0 |          4 |         22 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/di/teacher_evaluation/teacher_evaluation_repository_provider.g.dart                  | Dart     |         16 |          7 |          6 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_add_use_case.dart            | Dart     |         21 |          0 |          8 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_delete_use_case.dart         | Dart     |         24 |          0 |          7 |         31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_dto.dart                  | Dart     |         20 |          0 |          4 |         24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_use_case.dart             | Dart     |         17 |          0 |          5 |         22 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/i_get_favorite_teacher_query_service.dart      | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception.dart                | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception_detail.dart         | Dart     |          8 |          0 |          5 |         13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_my_questions_use_case.dart                          | Dart     |         17 |          0 |          3 |         20 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_question_detail_use_case.dart                       | Dart     |         35 |          0 |          4 |         39 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_recommended_questions_use_case.dart                 | Dart     |         21 |          0 |          3 |         24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_my_questions_query_service.dart                   | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_question_detail_query_service.dart                | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_recommended_questions_query_service.dart          | Dart     |          9 |          0 |          2 |         11 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_search_for_questions_query_service.dart               | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_create_use_case.dart                           | Dart     |         59 |          0 |         10 |         69 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_delete_use_case.dart                           | Dart     |         37 |          0 |          9 |         46 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_detail_dto.dart                                | Dart     |         24 |          0 |          4 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_command.dart                              | Dart     |         24 |          0 |          4 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_use_case.dart                             | Dart     |         76 |          3 |         17 |         96 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/search_for_question_use_case.dart                       | Dart     |         12 |          0 |          4 |         16 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/utils/photo_processing.dart                             | Dart     |         62 |          0 |         16 |         78 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception.dart                                  | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception_detail.dart                           | Dart     |         12 |          0 |          5 |         17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/report_submit_command.dart                                | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/report_submit_use_case.dart                               | Dart     |         27 |          0 |          6 |         33 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/application_service/question_card_dto.dart                                    | Dart     |         28 |          0 |          4 |         32 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception.dart                                             | Dart     |         13 |          0 |          4 |         17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception_detail.dart                                      | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor.dart                                                            | Dart     |          5 |          0 |          1 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor_config.dart                                                     | Dart     |         14 |          0 |          3 |         17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/i_session_provider.dart                                               | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/session.dart                                                          | Dart     |          8 |          0 |          4 |         12 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_dto.dart                                  | Dart     |         20 |          0 |          4 |         24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_use_case.dart                             | Dart     |         23 |          0 |          4 |         27 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_dto.dart                                     | Dart     |         52 |          0 |          5 |         57 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_use_case.dart                                | Dart     |         22 |          0 |          4 |         26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/i_get_my_profile_query_service.dart                      | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_command.dart                              | Dart     |         30 |          0 |          4 |         34 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_use_case.dart                             | Dart     |         77 |          0 |         16 |         93 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_create_use_case.dart                             | Dart     |         61 |          7 |         13 |         81 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_delete_use_case.dart                             | Dart     |         32 |          1 |          3 |         36 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/utils/photo_processing.dart                              | Dart     |         43 |          0 |         11 |         54 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/exception/student_use_case_exception.dart                                    | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/exception/student_use_case_exception_detail.dart                             | Dart     |         13 |          0 |          5 |         18 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/i_get_student_auth_query_service.dart               | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/sign_in_use_case.dart                               | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/sign_out_use_case.dart                              | Dart     |         10 |          0 |          3 |         13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/student_auth_info_without_password.dart             | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/update_student_auth_info_command.dart               | Dart     |         11 |          0 |          3 |         14 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/update_student_auth_info_use_case.dart              | Dart     |         21 |          0 |          5 |         26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/exception/student_auth_use_case_exception.dart                          | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/exception/student_auth_use_case_exception_detail.dart                   | Dart     |         10 |         10 |          6 |         26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_popular_teachers_use_case.dart                       | Dart     |          9 |          0 |          3 |         12 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_teacher_profile_dto.dart                             | Dart     |         39 |          0 |          3 |         42 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_teacher_profile_use_case.dart                        | Dart     |         15 |          0 |          3 |         18 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_get_popular_teachers_query_service.dart                | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_get_teacher_profile_query_service.dart                 | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_search_for_teachers_query_service.dart                 | Dart     |          4 |          0 |          2 |          6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/search_for_teachers_dto.dart                             | Dart     |         20 |          0 |          4 |         24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/search_for_teachers_use_case.dart                        | Dart     |         14 |          0 |          3 |         17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/get_teacher_evaluation_dto.dart               | Dart     |         25 |          0 |          4 |         29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/get_teacher_evaluation_use_case.dart          | Dart     |         26 |          0 |          8 |         34 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/teacher_evaluation_add_use_case.dart          | Dart     |         32 |          0 |          7 |         39 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/exception/teacher_evaluation_use_case_exception.dart              | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/exception/teacher_evaluation_use_case_exception_detail.dart       | Dart     |          8 |          0 |          5 |         13 |
| Total                                                                                                                                           |          |      2,438 |        173 |        604 |      3,215 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
