"filename", "language", "Dart", "comment", "blank", "total"
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/exceptions/student_auth/student_auth_infrastructure_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/exceptions/student_auth/student_auth_infrastructure_exception_detail.dart", "Dart", 18, 4, 5, 27
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/firebase/student-auth/firebase_get_student_auth_query_service.dart", "Dart", 24, 0, 5, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/firebase/student-auth/firebase_student_auth_repository.dart", "Dart", 151, 1, 13, 165
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/answer/exception/answer_infrastructure_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/answer/exception/answer_infrastructure_exception_detail.dart", "Dart", 10, 0, 5, 15
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/answer/in_memory_answer_repository.dart", "Dart", 124, 0, 12, 136
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/answer/in_memory_get_answer_query_service.dart", "Dart", 81, 0, 10, 91
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/blockings/in_memory_blockings_query_service.dart", "Dart", 42, 0, 7, 49
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/blockings/in_memory_blockings_repository.dart", "Dart", 22, 0, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/bookmarks/exception/bookmarks_infrastructure_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/bookmarks/exception/bookmarks_infrastructure_exception_detail.dart", "Dart", 11, 0, 5, 16
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/bookmarks/in_memory_bookmarks_query_service.dart", "Dart", 72, 0, 11, 83
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/bookmarks/in_memory_bookmarks_repository.dart", "Dart", 22, 0, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/favorite_teachers/in_memory_favorite_teacher_query_service.dart", "Dart", 45, 0, 8, 53
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/favorite_teachers/in_memory_favorite_teachers_repository.dart", "Dart", 23, 0, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/liked_answers/exception/liked_answers_infrastructure_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/liked_answers/exception/liked_answers_infrastructure_exception_detail.dart", "Dart", 10, 0, 5, 15
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/liked_answers/in_memory_get_liked_answers_query_service.dart", "Dart", 20, 0, 8, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/liked_answers/in_memory_liked_answers_repository.dart", "Dart", 44, 0, 8, 52
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/notification/exception/notification_infrastructure_exception.dart", "Dart", 8, 0, 2, 10
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/notification/exception/notification_infrastructure_exception_detail.dart", "Dart", 10, 0, 5, 15
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/notification/in_memory_get_my_notifications_query_service.dart", "Dart", 30, 0, 4, 34
"/Users/morikazu/Downloads/StudyHub_student/lib/infrastructure/in_memory/notification/in_memory_notification_factory.dart", "Dart", 33, 0, 5, 38
