Date : 2024-04-03 23:49:00
Directory : /Users/morikazu/Downloads/StudyHub_student/lib/application
Total : 158 files,  3116 codes, 243 comments, 759 blanks, all 4118 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        158 |      3,116 |        243 |        759 |      4,118 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        158 |      3,116 |        243 |        759 |      4,118 |
| answer                                                                                                                                          |          7 |        117 |          0 |         26 |        143 |
| answer/application_service                                                                                                                      |          5 |        101 |          0 |         19 |        120 |
| answer/exception                                                                                                                                |          2 |         16 |          0 |          7 |         23 |
| blockings                                                                                                                                       |          7 |         94 |          0 |         32 |        126 |
| blockings/application_service                                                                                                                   |          5 |         78 |          0 |         25 |        103 |
| blockings/exception                                                                                                                             |          2 |         16 |          0 |          7 |         23 |
| bookmarks                                                                                                                                       |          6 |         82 |          0 |         28 |        110 |
| bookmarks/application_service                                                                                                                   |          4 |         66 |          0 |         21 |         87 |
| bookmarks/exception                                                                                                                             |          2 |         16 |          0 |          7 |         23 |
| di                                                                                                                                              |         62 |      1,254 |        222 |        325 |      1,801 |
| di/answer                                                                                                                                       |          4 |         85 |         14 |         20 |        119 |
| di/answer/query_service                                                                                                                         |          2 |         53 |          7 |         10 |         70 |
| di/answer/repository                                                                                                                            |          2 |         32 |          7 |         10 |         49 |
| di/bookmarks                                                                                                                                    |          4 |         85 |         14 |         20 |        119 |
| di/bookmarks/query_service                                                                                                                      |          2 |         51 |          7 |         10 |         68 |
| di/bookmarks/repository                                                                                                                         |          2 |         34 |          7 |         10 |         51 |
| di/favorite_teacher                                                                                                                             |          4 |         77 |         14 |         20 |        111 |
